username,text,hashtags
clydebalaton,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
Brandork_,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
jkbananamilk613,"Please kindly rt this to share awareness and informarion of what is happening right now in India and how they badly need our help, 1 rt means a lot to the people in India🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe https://t.co/PQTaD0gjCq","[{'text': 'TogetherForIndia', 'indices': [173, 190]}, {'text': 'IndiaFightsCorona', 'indices': [191, 209]}, {'text': 'helpindiabreathe', 'indices': [210, 227]}]"
Brent_Huffman,The Indian Graduate Student and Scholars Association at @Northwesternu has joined forces with other university groups across the US to raise funds to provide essential supplies in India. #helpindiabreathe https://t.co/9b1vBsRyZB @BuffettInst @Northwestern_IO https://t.co/UwsVTtSFzF,[]
streskonsumer,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
deotarse,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
mutualwhys,"Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe

https://t.co/ZXec34riA4",[]
perfectcactus28,"@ShawnMendes @JayShettyIW @IndiasporaForum Thank you @ShawnMendes for choosing to make a difference in people's life. We are very grateful for your support in India's Covid-19 battle🙏

#TogetherForIndia
#IndiaFightsCorona
#helpindiabreathe",[]
GoDharmic,"Update and Message from Go Dharmic Founder @HanumanDassGD 
https://t.co/tb4s4Nu601

#OxygenCylinders #helpindiabreathe #helpindia #COVIDEmergency #CovidIndia #godharmic","[{'text': 'OxygenCylinders', 'indices': [84, 100]}, {'text': 'helpindiabreathe', 'indices': [101, 118]}, {'text': 'helpindia', 'indices': [119, 129]}, {'text': 'COVIDEmergency', 'indices': [130, 145]}, {'text': 'CovidIndia', 'indices': [146, 157]}, {'text': 'godharmic', 'indices': [158, 168]}]"
obloading,"If you can’t buy a mask but want to win a purple 12 mini just simply retweet this tweet 🙏🏼💜🇮🇳

Let’s help out India 

https://t.co/5kxKk0dITb

https://t.co/0nGIadlNpb

#helpindiabreathe https://t.co/Tg8LpRbHoj",[]
